CONCAT_ID,PUMA,PWGTP,AGEP
2022GQ009090101,308,43,4
2022GQ009119301,302,100,25
2022GQ009128401,301,26,19
2022GQ009128501,200,9,69
2022GQ009139401,100,126,51
2022GQ009204101,304,56,78
2022GQ009227201,308,11,59
2022GQ009234301,302,12,22
2022GQ009239401,301,104,22
2022GQ009277901,305,19,74
2022GQ009308001,200,8,41
2022GQ009308801,307,3,32
2022GQ009326301,306,63,33
2022GQ009348801,306,30,74
2022GQ009359601,301,88,20
2022GQ009461501,301,35,23
2022GQ009483601,302,63,21
2022GQ009505801,302,30,20
2022GQ009536401,100,24,44
2022GQ009570601,301,38,29
2022GQ009572401,306,18,20
2022GQ009606101,304,50,19
2022GQ009644601,302,42,43
2022GQ009646901,302,26,67
2022GQ009696501,304,4,34
2022GQ009700501,301,33,24
2022GQ009726901,306,73,22
2022GQ009731001,306,64,20
2022GQ009817301,302,31,20
2022GQ009837001,302,82,22
2022GQ009859701,302,87,20
2022GQ009885601,306,33,24
2022GQ009926301,306,11,70
2022GQ009960301,302,30,60
2022GQ009978701,301,43,26
2022GQ010025401,304,29,55
2022GQ010028601,200,75,31
2022GQ010045501,308,76,18
2022GQ010111801,305,45,78
2022GQ010156501,308,30,9
2022GQ010159301,100,4,38
2022GQ010180401,301,34,23
2022GQ010191801,305,10,40
2022GQ010240701,306,88,31
2022GQ010247401,200,63,22
2022GQ010261301,306,86,27
2022GQ010266601,302,10,23
2022GQ010281501,303,14,18
2022GQ010281601,302,10,22
2022GQ010310901,302,74,22
2022GQ010347601,200,40,63
2022GQ010383101,304,99,9
2022GQ010384301,302,6,36
2022GQ010393901,100,12,89
2022GQ010411701,301,97,20
2022GQ010463401,306,43,21
2022GQ010471401,301,214,41
2022GQ010506101,301,75,19
2022GQ010517801,304,143,62
2022GQ010532201,301,35,22
2022GQ010542001,100,10,81
2022GQ010553501,301,17,20
2022GQ010579101,302,12,20
2022GQ010615601,302,48,41
2022GQ010619701,302,9,26
2022GQ010653201,306,55,45
2022GQ010692701,306,76,19
2022GQ010704401,302,12,20
2022GQ010740301,303,5,90
2022GQ010742201,200,11,61
2022GQ010761401,302,349,55
2022GQ010793901,307,29,41
2022GQ010821601,200,74,18
2022GQ010854801,301,18,21
2022GQ010881501,307,100,21
2022GQ010902301,301,32,22
2022GQ010968901,301,90,78
2022GQ010969601,100,54,31
2022GQ010988401,308,93,40
2022GQ010990601,301,70,19
2022GQ011001801,304,49,73
2022GQ011060801,200,9,43
2022GQ011141701,306,60,20
2022GQ011181301,200,29,44
2022GQ011182401,302,18,91
2022GQ011234601,306,72,53
2022GQ011239901,306,95,21
2022GQ011263101,303,14,18
2022GQ011312901,306,20,20
2022GQ011319301,301,22,27
2022GQ011323701,302,3,22
2022GQ011332301,100,23,56
2022GQ011396701,306,99,20
2022GQ011397101,308,146,5
2022GQ011407801,304,124,19
2022GQ011419701,100,26,32
2022GQ011473401,308,160,59
2022GQ011481101,306,43,20
2022GQ011511101,302,13,21
2022GQ011530501,304,38,34
2022GQ011532501,200,10,59
2022GQ011538301,304,33,21
2022GQ011538401,301,36,28
2022GQ011580901,301,87,21
2022GQ011585201,303,5,97
2022GQ011587501,301,68,25
2022GQ011595401,305,20,91
2022GQ011635301,306,23,24
2022GQ011644001,306,52,19
2022GQ011649501,302,24,36
2022GQ011657901,306,26,92
2022GQ011694101,305,25,67
2022GQ011718301,303,38,88
2022GQ011720101,308,55,35
2022GQ011737501,301,17,40
2022GQ011739401,200,69,71
2022GQ011742601,303,4,81
2022GQ011750801,305,67,18
2022GQ011781901,308,108,27
2022GQ011782801,304,59,18
2022GQ011784101,301,80,22
2022GQ011788601,306,22,22
2022GQ011852401,301,16,18
2022GQ011854601,304,31,20
2022GQ011886601,100,229,61
2022GQ011902401,304,75,18
2022GQ011989901,302,12,20
2022GQ012030401,306,68,22
2022GQ012053401,303,73,81
2022GQ012080901,305,9,31
2022GQ012119501,306,50,29
2022GQ012135901,304,64,18
2022GQ012152401,301,92,22
2022GQ012170201,303,30,43
2022GQ012170601,200,14,42
2022GQ012205601,302,56,19
2022GQ012208801,301,20,20
2022GQ012243801,304,42,19
2022GQ012244301,303,85,18
2022GQ012269701,301,28,19
2022GQ012271701,305,14,49
2022GQ012276901,301,15,23
2022GQ012283301,302,31,20
2022GQ012319401,200,100,18
2022GQ012322101,301,35,21
2022GQ012350501,302,150,41
2022GQ012415601,305,25,69
2022GQ012471501,305,8,44
2022GQ012477201,302,12,23
2022GQ012510501,307,4,38
2022GQ012525801,301,94,33
2022GQ012538101,304,45,29
2022GQ012547301,100,16,97
2022GQ012588801,301,22,21
2022GQ012604901,301,37,19
2022GQ012610901,302,24,22
2022GQ012638301,304,63,70
2022GQ012638801,200,5,18
2022GQ012653301,306,94,29
2022GQ012658301,306,75,22
2022GQ012662201,100,14,90
2022GQ012697901,100,14,90
2022GQ012702601,306,86,45
2022GQ012715801,301,47,19
2022GQ012737001,302,99,20
2022GQ012751701,306,89,27
2022GQ012781601,306,34,23
2022GQ012794201,306,6,59
2022GQ012803101,301,33,24
2022GQ012844401,306,68,23
2022GQ012857701,301,20,22
2022GQ012870701,305,15,53
2022GQ012908001,305,10,57
2022GQ012918101,303,27,27
2022GQ012932601,302,74,22
2022GQ012994401,305,34,24
2022GQ013000701,301,61,21
2022GQ013004601,306,78,19
2022GQ013048701,302,23,59
2022GQ013060801,301,19,75
2022GQ013113501,200,20,43
2022GQ013157601,302,195,61
2022GQ013190201,302,68,19
2022GQ013244001,100,81,34
2022GQ013268901,302,80,22
2022GQ013295701,301,19,21
2022GQ013297601,304,83,83
2022GQ013334901,100,39,58
2022GQ013340001,306,13,28
2022GQ013359101,307,23,97
2022GQ013371101,303,125,71
2022GQ013417201,304,73,18
2022GQ013425401,306,53,40
2022GQ013431001,200,6,71
2022GQ013471301,304,123,19
2022GQ013492301,305,97,88
2022GQ013500201,305,75,28
2022GQ013500501,100,8,73
2022GQ013500701,308,93,41
2022GQ013501001,302,25,22
2022GQ013529501,304,1,70
2022GQ013536401,308,204,56
2022GQ013547401,306,83,83
2022GQ013548501,200,80,19
2022GQ013554001,305,15,46
2022GQ013568401,306,17,45
2022GQ013588601,303,128,73
2022GQ013596101,304,219,56
2022GQ013596601,306,3,39
2022GQ013616801,307,114,57
2022GQ013631501,100,28,56
2022GQ013640301,306,15,23
2022GQ013654701,306,80,20
2022GQ013667401,200,12,91
2022GQ013671001,302,94,22
2022GQ013677101,302,96,28
2022GQ013679201,306,112,22
2022GQ013712301,304,42,18
2022GQ013727401,306,65,47
2022GQ013731501,302,27,21
2022GQ013767101,301,43,22
2022GQ013814801,306,74,21
2022GQ013917701,301,101,20
2022GQ013987801,305,10,97
2022GQ013999201,302,170,40
2022GQ014004901,306,67,22
2022GQ014040601,305,48,43
2022GQ014059201,302,24,20
2022GQ014076101,100,25,60
2022GQ014108901,200,11,72
2022GQ014196401,305,8,91
2022GQ014200901,301,38,23
2022GQ014262601,308,151,97
2022GQ014281201,200,108,29
2022GQ014283101,306,15,21
2022GQ014286401,100,102,31
2022GQ014324701,200,9,18
2022GQ014359301,200,35,18
2022GQ014372101,305,11,32
2022GQ014397501,306,67,90
2022GQ014423101,303,4,88
2022GQ014445701,301,35,23
2022GQ014451301,306,55,48
2022GQ014457301,200,8,59
2022GQ014460401,305,57,18
2022GQ014507101,308,18,40
2022GQ014527401,301,46,27
2022GQ014590601,305,16,88
2022GQ014604501,301,14,27
2022GQ014606401,302,32,20
2022GQ014637101,302,31,21
2022GQ014640301,304,49,28
2022GQ014668901,305,16,53
2022GQ014713501,302,12,25
2022GQ014716301,200,60,71
2022GQ014734001,306,18,23
2022GQ014738901,301,60,22
